comment_id,video_id,text,like_count,published_at,sentiment_score,sentiment_label
UgybhuNqmY8zYUYtGIF4AaABAg,P3cBbwd6Dos,I am from formerSoviet  Union. I am appalled when guest said that he regrets that US defeated USSR. 40 millions died in Gulag at repression time. Life was grim there are even in 80’s. They are so uneducated about history.,308,2025-11-06T00:10:34Z,-0.9552,negative
UgyuWXcnqkPvf3xji7h4AaABAg,FwzyDJij_w4,Facts don’t care about your feelings remember: people are fed up with Aipac,420,2025-11-05T09:28:12Z,0.4939,positive
UgwdeHlX9rWXbcBC_Jx4AaABAg,FwzyDJij_w4,👇 If you think Benny should be deported to Israel.,300,2025-11-06T13:54:41Z,0.0,neutral
UgwJMH04znYxikl1cU94AaABAg,FwzyDJij_w4,"Dude only hates him because he criticised Israel, Mamdani is more America First than Ben Shapiro",223,2025-11-06T09:13:36Z,-0.6908,negative
UgwpjBK1lnL88LuBQVN4AaABAg,OaRJlL5mOF8,Debate him. We're all noticing now,16257,2025-11-03T20:05:06Z,0.0,neutral
Ugy6MRZ9iZ2XHU-C0T14AaABAg,OaRJlL5mOF8,GET BACK TO WORK MATT WALSH,14316,2025-11-03T18:26:54Z,0.0,neutral
Ugx1MzfcEucs2OvE54l4AaABAg,OaRJlL5mOF8,"Christ is King, America First",12775,2025-11-03T22:18:43Z,0.0,neutral
UgyB4I0-x5T1_6uDDUF4AaABAg,3Kp1g0BsFeU,It's refreshing when the askers are respectful and not a screaming lunatic.,7552,2025-10-19T00:56:49Z,0.779,positive
UgzpBD136LPW1eMK9tZ4AaABAg,3Kp1g0BsFeU,That was very good answer.,5268,2025-10-18T21:26:55Z,0.4927,positive
Ugz4BXxHy3pUL0wYIht4AaABAg,3Kp1g0BsFeU,Ben once again DOMINATES with FACTS and LOGIC,2111,2025-10-18T19:03:22Z,0.2342,positive
UgwI4sXV2tohC8nRpsh4AaABAg,OiwQ1aYVL28,Got what I voted for again!,933,2025-10-13T18:25:56Z,0.0,neutral
UgyENx0PTK2nXwC-eJJ4AaABAg,OiwQ1aYVL28,I hope people are slowly starting to understand why Trump’s life was spared..   This is merely ONE of the reasons,571,2025-10-13T18:43:40Z,0.4404,positive
UgxuFdZw4SlRXLl8B814AaABAg,OiwQ1aYVL28,Thank God for president Trump. Thank God for the release of the hostages. Thank God for peace.,448,2025-10-13T18:27:32Z,0.936,positive
Ugy2xcHrXzw320fLYux4AaABAg,4AchHeRACOQ,"John Fetterman, but the primary would be his biggest hurdle. Hes too moderate for many on the left now, he doesnt say ' fascist' and ' racist"" enough for them",566,2025-10-09T23:33:05Z,-0.3847,negative
UgyvJDThJKsqdiVla0Z4AaABAg,4AchHeRACOQ,"If john fetterman ran he would actually have the best shot at winning, I originally thought he was going to be a far leftist who would spend the majority of his time as a senator recovering from his stroke. But he is actually a centrist who routinely calls out his own party and has even openly agreed with republicans on some issues.",554,2025-10-09T22:33:33Z,0.875,positive
UgyMlBLHenT_vCNL_0x4AaABAg,4AchHeRACOQ,John Fettermen is the only democrat id even consider voting for,350,2025-10-09T22:38:45Z,0.0,neutral
UgwXFJXZggQeyNGq31h4AaABAg,2X7FMBpg7fs,"Charlie Kirk didn’t use hate speech, he used speech they hated.",13399,2025-09-11T18:24:47Z,-0.836,negative
UgyvtxBDr-9y-5Ae_f14AaABAg,2X7FMBpg7fs,I’m not even Conservative and I’m pissed off that Charlie got shot. Nobody deserves to be killed just for their opinions.,9523,2025-09-11T18:48:45Z,-0.8658,negative
Ugw7Cgn7MMGU6ubLWAF4AaABAg,2X7FMBpg7fs,I have never blocked anyone due to a difference of opinion but anyone laughing or celebrating Charlie's death has been blocked. Enough is enough.,6777,2025-09-11T17:53:12Z,0.4131,positive
UgyHAsIVjDLQ55iUd614AaABAg,xe1GTAq8WDY,"Watching his daughter be so excited to jump in her Daddy's arms is what broke me, now his kids no longer have their father. Truly heartbreaking.",3538,2025-09-10T23:16:02Z,-0.2462,negative
UgzhmoGhHc7bpvyrZIp4AaABAg,xe1GTAq8WDY,I've never been so broken hearted for someone I never met. What a tragic day.,3298,2025-09-10T23:55:49Z,-0.79,negative
UgzeWWI_BR4Icu5OTSJ4AaABAg,xe1GTAq8WDY,"""You don't cut the tongue over lies, you cut it for fear of truth""",1791,2025-09-10T23:07:41Z,-0.6106,negative
Ugz6u_kWhjcMzuNt92x4AaABAg,6yFFyM7niss,"Charlegmane is like, ""You never got the wrong person pregnant?""  As if this is something everyone does.  THAT is the problem, right there.",8777,2025-09-09T22:44:49Z,0.33,positive
UgzFloj_y4kdrTURY5R4AaABAg,6yFFyM7niss,Why do they always fall back on the rape/incest excuse? The majority of abortions are done as a form of birth control.,7582,2025-09-09T21:14:51Z,0.0772,positive
Ugx_s_0iTU1t46DALFl4AaABAg,6yFFyM7niss,This feels like a teacher explaining something to a first grader,2356,2025-09-10T10:09:13Z,0.3612,positive
Ugwzus7iLU4S45xr3GZ4AaABAg,IDF5-IPl9e0,You can't get cancelled if you don't sign up. 😂 brilliant,1708,2025-08-30T22:10:06Z,0.8146,positive
Ugy055sF3s49ZaDWk3J4AaABAg,IDF5-IPl9e0,Denzel Washington can never be cancelled. He is an all round  amazing man.,1196,2025-08-30T22:02:29Z,0.6747,positive
Ugx86HhUM8ON1gtqJCR4AaABAg,IDF5-IPl9e0,"Denzel is a legend. He and Morgan Freeman, both legends when it comes to their responses and off course, acting.",219,2025-08-31T05:00:29Z,0.4019,positive
Ugw3dWe9aVkTdGz9n9l4AaABAg,ZIZc3oS8jP4,"Love him or hate him that was chess 
Brilliant move",2194,2025-08-19T21:17:46Z,0.6486,positive
UgzV5zMoAetk1AH5jUB4AaABAg,ZIZc3oS8jP4,"Scientology makes me not like him, but his cleverness and acting makes me like him. Its a rocky relationship haha",2115,2025-08-19T20:38:27Z,0.9031,positive
UgzLnoMATmDowyYDXK14AaABAg,ZIZc3oS8jP4,Tom cruise has been in enough movies to know how to manipulate studio ego 😂,1081,2025-08-19T22:10:46Z,0.4404,positive
UgztJXVG_TkbJXZ14dN4AaABAg,qLWYJHZh9IU,His argument ate itself,10615,2025-08-15T02:50:28Z,-0.3612,negative
UgxcO2qqxw1itsDu-Cl4AaABAg,qLWYJHZh9IU,Your comfort doesn't trample other people's rights.,4038,2025-08-15T06:17:17Z,0.3612,positive
Ugy1qV27tMhPBlpoCFV4AaABAg,qLWYJHZh9IU,"That ""fair enough"" was the sudden realization that he could not debate Ben.",3366,2025-09-18T02:25:47Z,0.3182,positive
Ugw06X0yVLCeFtjxRiB4AaABAg,1dYlzcb7Pes,Kaiser is the German version of calling a Spanish kid Caesar,4575,2025-07-29T01:11:33Z,0.0,neutral
UgxiZecBeQtIRs5aMRl4AaABAg,1dYlzcb7Pes,"Dude, Kaiser is an awesome name",3262,2025-07-29T01:04:59Z,0.6249,positive
UgwRzi0dQcXa3UbPc1t4AaABAg,1dYlzcb7Pes,"Agreed, stick with Kaiser!  Whoever was offended is offensive, if indeed they were not kidding.",1197,2025-07-29T02:23:13Z,-0.5405,negative
Ugysn1gsg71tpaOs9S94AaABAg,PNCtSfME3K8,"Plot twist: Two 5' 5"" short kings lying about their height😂😂",33964,2025-07-22T20:47:28Z,0.34,positive
UgzqDp85QhbWfuWN-CN4AaABAg,PNCtSfME3K8,“I planted him” is actually hilarious,16474,2025-07-22T19:37:38Z,0.4019,positive
UgxamJQ1wpC5WfIkva14AaABAg,PNCtSfME3K8,"Plot twist; Ben Shapiro actually is 5' 5"", but the other guy lied about being 5' 9"".",10040,2025-07-22T22:39:03Z,-0.5267,negative
UgxtUkd7TLIt6yl-_2F4AaABAg,5LhXv8F_iYw,Raise them properly and you won't have either...,1372,2025-07-18T19:27:21Z,0.0,neutral
UgwmZqTxv4-yH3tAshl4AaABAg,5LhXv8F_iYw,Future CNN reporter,847,2025-07-18T20:11:42Z,0.0,neutral
Ugx1o9c9RYL83qfTc7F4AaABAg,5LhXv8F_iYw,He has chosen peace,511,2025-07-18T19:06:27Z,0.5423,positive
UgwzzXH-bj8_KrJ9kLx4AaABAg,wiPjkQfMbIY,What made this plan Successful is they did not tell the Democrats,1284,2025-06-23T00:47:54Z,0.5859,positive
UgwljppIULm4O5yygy54AaABAg,wiPjkQfMbIY,"Iran’s nuclear sites just 
changed their pronouns to 
was/were.",917,2025-06-23T03:21:11Z,0.0,neutral
UgwMst6Dtws0aPR9YqV4AaABAg,wiPjkQfMbIY,"Sometimes you gotta remind the world why we spend so much on defense.

Beyond impressed by the professionalism and courage of those pilots and everyone who worked on the mission.  And in President Trump for acting decisively.",278,2025-06-22T23:42:35Z,0.7943,positive
UgxaYbRtkeWjBZu1BL54AaABAg,y4FrpFHZzpY,Getting fired from SNL for making naughty jokes is the best thing that ever happened for Shane Gillis' career.,1824,2025-06-21T14:17:58Z,0.3818,positive
UgzsV58vTw9ROFn02wt4AaABAg,y4FrpFHZzpY,You know what they used to call non-woke comedians? ... Comedians,1722,2025-06-21T17:18:08Z,0.5267,positive
UgwKIxctRiRIUe8pLul4AaABAg,y4FrpFHZzpY,THIS should be a regular feature on Ben After Dark. This is much better than a lot of the bits on there now. And Uncle Roger (a.k.a. Nigel Ng) has been banned in China.,670,2025-06-21T14:32:59Z,-0.0258,neutral
Ugw_zbpi_8cDeGGJ3pV4AaABAg,2vjnGeIDIfc,This should be handled behind closed doors. They're grown men arguing like children on a playground,6000,2025-06-05T22:22:22Z,-0.128,negative
UgwI9wX71yTBuN6mhRl4AaABAg,2vjnGeIDIfc,This feud is def disappointing and it's embarrassing.,5130,2025-06-05T22:41:23Z,-0.802,negative
UgxwDD27ZXut_XkwHLh4AaABAg,2vjnGeIDIfc,I’m so damn tired of politics in this country becoming increasingly like reality TV.,3811,2025-06-05T22:52:28Z,-0.5678,negative
UgyMqvx0GraB2vey7Fl4AaABAg,Y4YthYBAqH0,Should of left it in Russia.,1511,2025-05-30T03:38:06Z,0.0,neutral
UgwqZu4CIHqEPEJ_DHh4AaABAg,Y4YthYBAqH0,Not the best prisoner trade we got with her,1326,2025-05-30T03:10:32Z,-0.1326,negative
Ugxmx7G8UULtAAE8py94AaABAg,Y4YthYBAqH0,Grinder is one weird dude.,651,2025-05-30T04:26:49Z,-0.1779,negative
UgyLFwg36qlZO28jcpF4AaABAg,Fn4R7WVMHlo,The song went No.1 in 109 countries,6692,2025-05-13T21:43:12Z,0.0,neutral
UgwdU2SMDv1Lqijc9I94AaABAg,Fn4R7WVMHlo,"""Im not racist I have a black friend""
The black friend:",6093,2025-05-13T06:00:20Z,0.8631,positive
UgzCMMq2v27uqdUI07t4AaABAg,Fn4R7WVMHlo,No jew be telling me what to listen,4619,2025-05-17T09:39:48Z,-0.296,negative
UgzguNZWSNv6JKkYcv94AaABAg,pbPG_Wnhevc,"Ben's list without the spoilers:
1. Anna Karenina
2. The Brothers Karamazov
3. Moby Dick
4. Every Man Dies Alone
5. Life & Fate
6. East of Eden
You're welcome😉",1558,2025-05-10T15:27:38Z,-0.3182,negative
UgzSks1PKkJki3A91uJ4AaABAg,pbPG_Wnhevc,"English Literature: I Will Die for Honor
French Literature: I Will Die for Love
American Literature: I Will Die for Freedom
Russian Literature: I Will Die.",1490,2025-05-10T23:16:43Z,-0.6124,negative
UgzBd1YR840JHnWiIqB4AaABAg,pbPG_Wnhevc,The fact that green eggs and ham isn’t on here should be criminal.,1310,2025-05-10T14:05:21Z,-0.5267,negative
Ugwp8C2U9Ekv95zwgE54AaABAg,DvPNS3gmnzY,"That's the old New York comin' out of him. 
I love it. 🇺🇲🤣",653,2025-04-10T23:29:10Z,0.8126,positive
Ugzefozk_8T8ZHs-kTZ4AaABAg,DvPNS3gmnzY,He is super quick-witted! Go President Trump!,463,2025-04-11T08:03:12Z,0.6688,positive
UgzdrnSuBi0sU5PGsc54AaABAg,DvPNS3gmnzY,I love how quick-witted he is with stuff like this. Sharp as a tack! It's a refreshing change from Biden.,322,2025-04-10T22:02:20Z,0.7901,positive
UgzbhoWHHxcEVeiC6NN4AaABAg,MBeUkH0FW4I,"EU doesn’t allow a lot of USA food products because of the chemicals in our food supply. Some object to this and see it as hidden protectionism. 

To be honest, I want their food standards. There is something wrong with the chemistry being added to food.",1377,2025-04-07T20:04:27Z,0.34,positive
UgwZxFI4zWzB7tlt3zt4AaABAg,MBeUkH0FW4I,"Zero would be great, but even the reduced Tariffs we're already getting is huge progress",310,2025-04-07T21:11:11Z,0.8481,positive
UgxRlXcMAI8e3MVlh-B4AaABAg,MBeUkH0FW4I,Zero tariffs between USA and Europe. Compete with quality.,303,2025-04-07T20:46:11Z,0.0,neutral
Ugw9rvABrd61ofT7slZ4AaABAg,HDp83kP4yuY,Of course they didn’t include all the facts.  That doesn’t fit their narratives!,1589,2025-04-02T15:47:09Z,0.4199,positive
Ugx0XlqYKOWEizsYWAN4AaABAg,HDp83kP4yuY,"How did a MS-13 gang member with a violent past and a flight risk get ""protected status""?",1531,2025-04-02T16:06:12Z,-0.4767,negative
UgwAIfE07yH0k57uib14AaABAg,HDp83kP4yuY,The omission from The Atlantic was deliberate.,570,2025-04-03T00:22:46Z,0.0,neutral
Ugww5QgqOWLjub4l1id4AaABAg,bXVn7_XorU8,And coincidentally all those politicians are multimillionaires on a $150K salary.,3378,2025-03-29T03:59:48Z,0.0,neutral
Ugz8CCRkb6l5Oy_w6Kx4AaABAg,bXVn7_XorU8,It's called money laundering,2500,2025-03-29T02:55:05Z,0.0,neutral
UgwQG6l7ZPbbVlGkGtV4AaABAg,bXVn7_XorU8,Whats more mind blowing is we have people actually against this. Thats astonishing!,974,2025-03-29T01:49:00Z,0.0,neutral
Ugx51iKcqZ5ADnlFleV4AaABAg,cJsBvjla3Kc,Model?  Is that what they call them now?,994,2025-03-08T01:59:14Z,0.0,neutral
UgyNQVVNrrlE9y67Lw14AaABAg,cJsBvjla3Kc,"She's not a model., Calling her a model is like calling Reagan a real best friend 🤦",803,2025-04-01T18:34:45Z,0.872,positive
Ugz-UMPbsoGpMRyzXPR4AaABAg,cJsBvjla3Kc,Ferrari just went down in price.,773,2025-03-07T23:19:20Z,0.0,neutral
UgxQTHpmf8mEE-18DVV4AaABAg,astCamNc-zs,They are just mad that he stopped their money laundering.,5605,2025-03-06T00:29:38Z,-0.6249,negative
Ugy5dTnzYC3niBZgeqJ4AaABAg,astCamNc-zs,"The smartest he did was saying that the ""Dems won't clap for anything I say or do"" and proceeds to give many examples with Dems refusing to clap.",3929,2025-03-06T00:05:34Z,0.3182,positive
Ugz5kYU_jMUjI6iWb3t4AaABAg,astCamNc-zs,They can’t clap or even smile because what he is fixing is really them. They are the problem he is exposing.,2361,2025-03-06T04:07:05Z,-0.3182,negative
UgwfTUZnri_nl-dzQV54AaABAg,OZ7fi38Wk3I,I smell a foreign agent threatening National Security of the USA.,23495,2025-02-26T07:04:02Z,-0.25,negative
Ugym0FpI8OWg1Wj9_YV4AaABAg,OZ7fi38Wk3I,The only stupid ones are the ones who voted her into any political office. 🙄,16068,2025-02-26T03:13:06Z,-0.5267,negative
UgzDuxfD2O93ATwkKfN4AaABAg,OZ7fi38Wk3I,She obviously doesn’t see herself as an American citizen since she refers to us as “these people.” Unbelievable….,12603,2025-03-02T15:58:28Z,0.0,neutral
UgwgXe2E11CHZLRxMUt4AaABAg,fwUWJtNoDyE,Eddie Murphy intended for us to laugh! I never thought of him as racist…😂😂😂😂,1114,2025-02-16T22:04:36Z,0.9381,positive
UgzdD0rTNqVkhTH_ZFl4AaABAg,fwUWJtNoDyE,I loved SNL back in those days! Mr Robinson neighborhood was so funny.,452,2025-02-17T02:23:37Z,0.8374,positive
Ugy5g8LkXKYBzV4PZdF4AaABAg,fwUWJtNoDyE,Mr. Robinson's Neighborhood was the name of the recurring sketch. The Christmas one was the best ever! 🤣,409,2025-02-16T21:10:06Z,0.8268,positive
UgyjyXkDaZ-767ztB054AaABAg,gucMoWjCe98,A man who says 'we're going to be okay' is a gift.,6383,2025-02-09T23:18:32Z,0.5859,positive
Ugy7Vi7HSl67NMIKwgB4AaABAg,gucMoWjCe98,I have triplets!!! I know how they feel!!! They have been huge blessings in my life!!! They’re 16 now. 🥰🥰🥰,1000,2025-02-09T23:02:35Z,0.9832,positive
Ugz1fy5rRBaJp9_qK3t4AaABAg,gucMoWjCe98,Dad’s response was so loving. What a good man.,983,2025-02-17T00:35:25Z,0.8356,positive
UgztCAbJ_5uz3RkpVlR4AaABAg,tHwbxOEydCo,"4 years ago, Columbia was laughing, sending their trash to America, and now we are returning",2226,2025-01-28T01:20:05Z,0.4939,positive
Ugwk5ssbKOsIhOi7S_h4AaABAg,tHwbxOEydCo,Yes finally. I almost forgot how it feels to be American. I'm getting chills thinking about it. Greatness.,1136,2025-01-27T23:43:16Z,0.4019,positive
UgxsJxKQq_pho7q4Ket4AaABAg,tHwbxOEydCo,President Trump thank you. This is what United States is needing a real president.,478,2025-01-27T23:09:01Z,0.6486,positive
UgwR3MAbsOwm0XW7Uud4AaABAg,2Qsx25t_ubA,I love it. America finally got its balls back!!,1598,2025-01-27T21:00:09Z,0.6988,positive
Ugxyf2kpEWVAU5nzRbl4AaABAg,2Qsx25t_ubA,It's good to have a president with a sense of humor!,1141,2025-01-27T20:42:03Z,0.6476,positive
Ugw-iW5BJX46iHe4zfR4AaABAg,2Qsx25t_ubA,In just a week of President Trump look what this man has done for ALL Americans!!🙏🏻♥️🇺🇸👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,291,2025-01-29T03:18:14Z,0.6988,positive
UgyZAxXIeX9SapveF8F4AaABAg,AHtafqy_hyo,He’s 5 steps ahead. The man is going to be great for Canada.,4105,2025-01-07T23:12:51Z,0.6249,positive
Ugw7yuwSQr1fmSGS0HB4AaABAg,AHtafqy_hyo,Beautiful! Exactly how reporters should be dealt with.,3606,2025-01-07T23:04:42Z,0.636,positive
Ugw2oRCS0ZSmYuIvMyR4AaABAg,AHtafqy_hyo,I like his calm demeanor. It makes it even better.,3438,2025-01-10T15:31:56Z,0.7717,positive
UgzAOZ-cISxIYvVHZ3h4AaABAg,FqkKuc0wRX4,Keiser is just a German form of the name Caesar.,2743,2024-12-20T04:01:52Z,0.0,neutral
UgyFmc4rbi_aA-YhcRZ4AaABAg,FqkKuc0wRX4,Anyone one who says that your first name is offensive are themselves offensive.,2689,2024-12-20T03:54:43Z,-0.7184,negative
UgyI9ZfYlbU5VSpf_Yt4AaABAg,FqkKuc0wRX4,My first name is Rich. Poor Leftists must be offended.  🤑 🙄,801,2024-12-20T05:18:03Z,-0.128,negative
Ugyh5nONwJY44X8etJ54AaABAg,9IWsMHzsN0w,How can Trudeau complain about tariffs when he put a tariff on his own country and called it a carbon tax?,3488,2024-12-20T14:49:56Z,-0.3612,negative
UgxkV5Hp_hKg8t79nPN4AaABAg,9IWsMHzsN0w,He sounds like a South Park character 😂,1390,2024-12-20T14:06:37Z,0.6597,positive
UgzjgwJPumSrRMJzi5R4AaABAg,9IWsMHzsN0w,Trudeau probably would answer that if he was asked.,976,2024-12-20T03:06:59Z,0.0,neutral
UgwHACUbr0zCzA_R2sl4AaABAg,J2ba9PypZmU,"Hunter will just lie. Like father, like son.",2838,2024-12-04T14:37:49Z,0.6124,positive
Ugx1RZ2PR_L1tQRKVDd4AaABAg,J2ba9PypZmU,He’ll just plead stupidity instead. “I don’t know. I don’t recall.”,1774,2024-12-04T08:17:39Z,-0.4404,negative
UgydgrdprBO5P-jed414AaABAg,J2ba9PypZmU,Does anyone think for a second Hunter would be honorable under oath?,1635,2024-12-04T16:07:35Z,0.5423,positive
Ugx2-FCm_Pi1bf8sJ-p4AaABAg,NXPsj4JuVC0,Exactly…. Leave me alone and leave my children alone,4067,2024-11-15T16:41:12Z,-0.5267,negative
UgymBhPgOA9UbqWPN3t4AaABAg,NXPsj4JuVC0,It amazes me how something so simple as basic logic goes over these people’s heads.,3878,2024-11-14T04:37:09Z,0.4939,positive
UgxBFPcpmw6mksmclkt4AaABAg,NXPsj4JuVC0,"""You are trying to control me by not letting me control you.""",2219,2024-11-14T16:52:29Z,0.0,neutral
Ugw1TljRPMZaZJsjaCJ4AaABAg,3aUtYVr62lw,Who here waiting for 3 days cause they got no life,293,2024-11-09T01:09:35Z,-0.296,negative
UgyrXzpNW6wenMnzilR4AaABAg,3aUtYVr62lw,Finally someone who speaks as fast as Ben.,89,2024-11-10T16:52:31Z,0.0,neutral
Ugxha_Q4CRahDrxqaoR4AaABAg,3aUtYVr62lw,So much better when the guest is in studio,46,2024-11-10T13:41:57Z,0.4902,positive
UgxyP9JyvPYfKwF5xo54AaABAg,neGWHZydtQ4,We have FINALLY been unburdened by what has been. Trump 47'🇺🇸🇺🇸🇺🇸🥳🥳🥳,1049,2024-11-06T07:55:56Z,0.7783,positive
UgzbjqSNCZA2C-sHoex4AaABAg,neGWHZydtQ4,"I just got to watch one of the craziest things ever. I’m so happy I could cry: WE DID IT! Great job Daily Wire, I’m so proud to support you.",410,2024-11-06T07:55:42Z,0.9299,positive
UgzU2X44kOLNAjOVNBV4AaABAg,neGWHZydtQ4,"Loving it from Germany! MAGA and save the free Western World, America!",289,2024-11-06T07:59:47Z,0.8997,positive
UgwQHVQ8GmMgp6Mglsl4AaABAg,SbySFnqNpo4,"He doesn't want a solution, he wants you to admire his feelings.",9914,2024-11-01T19:37:16Z,0.2302,positive
UgzjL9RLON7EHbml7WF4AaABAg,SbySFnqNpo4,And they say republicans are weird.,8641,2024-10-26T16:23:18Z,-0.1779,negative
Ugxxij4BuA73IfUnQv14AaABAg,SbySFnqNpo4,Give it back bro. Be the change you want everyone else to be,5727,2024-10-26T18:52:19Z,0.0772,positive
UgzdST2OP9GwQR9eOEd4AaABAg,5r3WiCUdBMQ,"Libs when Ukraine defends itself:🥰
Libs when Israel defends itself:😡😨",6549,2024-10-22T05:23:07Z,0.6249,positive
UgyheBCNzN2-_XXOyqp4AaABAg,5r3WiCUdBMQ,Remember when these people called us Nazis for voting for Trump?,1345,2024-10-22T19:13:16Z,0.0,neutral
UgxIqzBoEYgWo4JG8dp4AaABAg,5r3WiCUdBMQ,"Yes, the current California university system.",1225,2024-10-22T04:12:16Z,0.4019,positive
Ugz2XsDK3mBZ01VN3Rh4AaABAg,wI6LxBkEKmA,I'm thinkin' that's closer to a he/him...,14548,2024-10-22T03:37:20Z,0.0,neutral
UgwKUUfUI_qRRh9lZch4AaABAg,wI6LxBkEKmA,Pronouns are she/her: chromosomes are X/Y.,12285,2024-10-22T19:07:22Z,0.0,neutral
Ugwo-OBttM3XcLOnMWV4AaABAg,wI6LxBkEKmA,It's okay I can speak english 👍 😊 Great response,6466,2024-10-22T03:37:30Z,0.9001,positive
UgwisS0rsh2lYAxmRPZ4AaABAg,FHPz58RpGvU,"“If you can’t spell boyfriend, you shouldn’t have one” ❤❤😂😂 
Mic drop. I love this kid.",34873,2024-09-23T00:44:11Z,0.9538,positive
UgwV6Yxbv2Uv07w4OmR4AaABAg,FHPz58RpGvU,"She is articulate, emphatic, informed, has values.. SO cute. Expressive",14964,2024-09-23T01:49:15Z,0.8168,positive
UgzZeXDbgomnB2ptnSh4AaABAg,FHPz58RpGvU,Her parents raised her right. 😂,7126,2024-09-22T23:30:35Z,0.4404,positive
UgxZBlmHpGu71k6Mr7x4AaABAg,4iH76s7lhQE,None of them know what to say without the teleprompter. Except Trump,3311,2024-09-15T20:08:11Z,0.0,neutral
UgxgAV_UWLfg7Gz0rTF4AaABAg,4iH76s7lhQE,None of them have a single original thought in their empty heads.,2738,2024-09-15T23:52:25Z,0.128,positive
UgzuFgQ4U0SgHN93Mwd4AaABAg,4iH76s7lhQE,😂🤣😂 I can't fathom why anyone votes dems. It's sad so many are being fooled.,2641,2024-09-16T04:34:49Z,0.5106,positive
UgxFcA3RL-t-xjy2I4V4AaABAg,o2qm-2d4o4c,"Ah, the tolerant left.",26756,2024-09-12T15:20:31Z,0.2732,positive
UgwfsSFQS1uQd82GXzl4AaABAg,o2qm-2d4o4c,"And they accuse Trump of being ""angry"". Typical hypocrites.",12333,2024-09-13T17:23:07Z,-0.6249,negative
Ugz_VujsDSGNe3CQp4p4AaABAg,o2qm-2d4o4c,Shows dems are hateful,8590,2024-09-12T15:11:20Z,-0.4939,negative
UgzKT23QYyFWq2wJxZx4AaABAg,k2KbOV-id1U,The hypocrisy in Hillary talking about Trump being a criminal,12195,2024-08-25T11:25:41Z,-0.5267,negative
Ugw9UbCYI1iXGqr_xY14AaABAg,k2KbOV-id1U,And she should have 33000 convictions.,4917,2024-08-25T13:19:25Z,0.0,neutral
Ugw0BKWFsbO92N7Npv14AaABAg,k2KbOV-id1U,She's one of the worst criminals in US history!,4088,2024-09-16T02:19:53Z,-0.8439,negative
Ugz-c8bp37Wyvq5yakN4AaABAg,sYZ19Lh_iXA,The fact she thinks Trump is struggling to go after Harris is laughable.,3763,2024-08-17T17:16:25Z,-0.3818,negative
UgwBLTIittp-F7KzFRJ4AaABAg,sYZ19Lh_iXA,That's the best joke Colbert ever told.,2979,2024-08-17T17:14:22Z,0.7506,positive
UgxwpHEsMU-GFtzGdrR4AaABAg,sYZ19Lh_iXA,"The audience isn't fooled, but they have chosen to ignore truth.",2819,2024-08-17T17:09:29Z,0.0752,positive
Ugx5mYhH7tlVyGuARhx4AaABAg,4is_L8jgNTo,"That's cool. It's like God is saying, ""No, you are blessed. You can't see it through the pain, but I'm doing something here."" We don't choose our story, and thank God for that.",5417,2024-08-12T11:55:05Z,0.8462,positive
Ugz7Es97_Ulh6tknGQF4AaABAg,4is_L8jgNTo,So humbling. The root of bitterness is unforgiveness.,1840,2024-08-12T20:35:44Z,-0.4019,negative
